model,prediction_length,dataset,mse,mae
prophet,96,h1,0.06599863738874522,0.21706269034877468
prophet,192,h1,0.06599863738874522,0.21706269034877468
prophet,96,h2,0.06561668667999528,0.21743418923583757
prophet,192,h2,0.11822494454836317,0.2930310057789985
prophet,96,m1,0.11771556739991439,0.31976402414873356
prophet,192,m1,0.0631537939428733,0.19907191813003755
prophet,96,m2,0.08771780255979915,0.2684073617474593
prophet,192,m2,0.08321984546085061,0.26341489528901935
