model,prediction_length,dataset,mse,mae
seq2seq,96,h1,0.12810146762011843,0.3173240119821255
seq2seq,192,h1,0.19730778922957848,0.4195261278989544
seq2seq,96,h2,0.13929250226513254,0.31619012418371234
seq2seq,192,h2,0.12368299802859417,0.3009384686352045
seq2seq,96,m1,0.008156013984599414,0.07911340028652065
seq2seq,192,m1,0.08651358987040388,0.2626048688666446
seq2seq,96,m2,0.24102626156263032,0.43548087745135194
seq2seq,192,m2,0.2367561399709052,0.4173764320390199
