model,prediction_length,dataset,mse,mae
lstm,96,h1,0.8091579684188591,0.886338446768231
lstm,192,h1,1.1722592549838533,1.0701965439312289
lstm,96,h2,0.9931863484744475,0.916369213983122
lstm,192,h2,2.747193108949967,1.611450658974307
lstm,96,m1,0.2698402749715965,0.48590714334174506
lstm,192,m1,0.4718387666449347,0.6120608646622719
lstm,96,m2,0.08894537054710257,0.2822321690584222
lstm,192,m2,0.4246148886326106,0.5916560163481739
