datesold,postcode,price,propertyType,bedrooms,datesold_year,month
2007-02-07,2607,13.17115354157376,house,4,2007,2
2007-02-27,2906,12.577636201962656,house,3,2007,2
2007-03-07,2905,12.70076888736628,house,3,2007,3
2007-03-09,2905,12.84792653170257,house,4,2007,3
2007-03-21,2906,12.644327576461329,house,3,2007,3
2007-04-04,2905,13.049792684569493,house,4,2007,4
2007-04-24,2607,12.896716695872,house,3,2007,4
2007-04-30,2606,14.240778293368619,house,4,2007,4
2007-05-24,2902,12.791077667470416,house,3,2007,5
2007-05-25,2906,12.676076274775909,house,3,2007,5
2007-06-26,2902,12.86099861326992,house,3,2007,6
2007-06-27,2906,12.628067055589549,house,3,2007,6
2007-06-27,2612,13.652991628466498,house,4,2007,6
2007-06-28,2904,13.547631112808673,house,4,2007,6
2007-06-30,2615,13.155798153490567,house,4,2007,6
2007-07-02,2914,13.592367006650065,house,5,2007,7
2007-07-03,2906,12.724866438945341,house,3,2007,7
2007-07-06,2615,13.190022025878143,house,5,2007,7
2007-07-07,2602,13.710150042306449,house,4,2007,7
2007-07-08,2600,12.697715449879391,house,1,2007,7
2007-07-12,2602,12.965709567358951,house,3,2007,7
2007-07-13,2602,13.567049198665774,house,3,2007,7
2007-07-18,2602,13.180632285528304,house,3,2007,7
2007-07-18,2602,13.287877815881902,house,3,2007,7
2007-07-20,2605,13.17115354157376,house,3,2007,7
2007-07-20,2904,13.215853720491667,house,4,2007,7
2007-07-21,2603,14.291744736960645,house,4,2007,7
2007-07-30,2611,13.008074231002201,house,3,2007,7
2007-07-30,2607,13.232114241363448,house,4,2007,7
2007-07-31,2605,13.134291948269603,house,3,2007,7
2007-07-31,2903,13.16158409055761,house,4,2007,7
2007-08-03,2905,12.855790268162783,house,3,2007,8
2007-08-03,2607,13.16158409055761,house,3,2007,8
2007-08-07,2904,13.610943392223,house,5,2007,8
2007-08-10,2602,13.209458084255262,house,3,2007,8
2007-08-10,2602,13.541073712262515,house,3,2007,8
2007-08-11,2602,13.16158409055761,house,3,2007,8
2007-08-11,2606,13.36295384232226,house,3,2007,8
2007-08-14,2617,13.345506928718539,house,4,2007,8
2007-08-16,2600,13.579788224443204,house,4,2007,8
2007-08-21,2905,12.676076274775909,house,3,2007,8
2007-08-21,2902,12.943236711506893,house,5,2007,8
2007-08-21,2905,13.028052697933088,house,4,2007,8
2007-08-23,2913,13.235692062711331,house,4,2007,8
2007-08-24,2904,13.279367126213993,house,4,2007,8
2007-08-28,2906,12.691580461311874,house,2,2007,8
2007-08-28,2902,12.948009990259552,house,4,2007,8
2007-08-29,2602,13.303016877097587,house,3,2007,8
2007-08-30,2905,12.66032791780777,house,2,2007,8
2007-08-30,2913,12.813117127036707,house,3,2007,8
2007-08-31,2902,12.759957758756611,house,3,2007,8
2007-08-31,2611,13.185338176565716,house,4,2007,8
2007-09-03,2611,13.049792684569493,house,3,2007,9
2007-09-04,2913,13.617059619240436,house,4,2007,9
2007-09-06,2611,13.287877815881902,house,3,2007,9
2007-09-11,2904,13.233904752137237,house,4,2007,9
2007-09-15,2902,13.008074231002201,house,4,2007,9
2007-09-18,2602,13.060487973686241,house,3,2007,9
2007-09-20,2903,12.89043132005704,house,4,2007,9
2007-09-20,2604,13.079455876393052,house,3,2007,9
2007-09-21,2603,14.19394699368452,house,5,2007,9
2007-09-22,2602,13.122363377404328,house,4,2007,9
2007-09-22,2602,13.134291948269603,house,4,2007,9
2007-09-22,2607,13.16158409055761,house,4,2007,9
2007-09-24,2612,13.732128949025222,house,4,2007,9
2007-09-27,2903,13.13626628257332,house,4,2007,9
2007-10-02,2611,13.071070083016778,house,3,2007,10
2007-10-09,2904,12.891691559669328,house,3,2007,10
2007-10-10,2605,13.228523573232719,house,3,2007,10
2007-10-12,2905,13.010313873595706,house,4,2007,10
2007-10-12,2614,13.487006490992238,house,4,2007,10
2007-10-15,2615,12.517227074167097,house,1,2007,10
2007-10-16,2615,12.815838217151068,house,3,2007,10
2007-10-16,2905,12.86099861326992,house,3,2007,10
2007-10-17,2904,13.235692062711331,house,5,2007,10
2007-10-19,2905,13.028052697933088,house,4,2007,10
2007-10-19,2906,13.081541382884074,house,4,2007,10
2007-10-24,2906,12.613203032957399,house,3,2007,10
2007-10-24,2602,13.132313708257497,house,3,2007,10
2007-10-25,2602,12.206072645530174,house,1,2007,10
2007-10-25,2912,13.287877815881902,house,4,2007,10
2007-10-25,2617,13.37700559577791,house,5,2007,10
2007-10-25,2605,13.554145793829866,house,4,2007,10
2007-10-26,2913,13.9108207377686,house,5,2007,10
2007-11-02,2913,12.80765263256463,house,3,2007,11
2007-11-02,2607,13.32530422140102,house,4,2007,11
2007-11-05,2615,13.065793025915934,house,4,2007,11
2007-11-05,2611,13.304684934198283,house,5,2007,11
2007-11-07,2615,12.827992316801751,house,3,2007,11
2007-11-08,2905,12.886641043883259,house,3,2007,11
2007-11-08,2602,13.116345305078767,house,2,2007,11
2007-11-08,2906,13.296316684527767,house,4,2007,11
2007-11-12,2611,13.049792684569493,house,2,2007,11
2007-11-12,2903,13.132313708257497,house,4,2007,11
2007-11-16,2615,12.845291484064564,house,3,2007,11
2007-11-16,2604,13.132313708257497,house,3,2007,11
2007-11-17,2614,12.84792653170257,house,3,2007,11
2007-11-17,2902,13.39239051461739,house,4,2007,11
2007-11-17,2603,13.541073712262515,house,3,2007,11
2007-11-17,2603,13.541731390681484,house,3,2007,11
2007-11-20,2615,13.00019574343012,house,4,2007,11
2007-11-22,2902,13.235692062711331,house,4,2007,11
2007-11-23,2904,13.235692062711331,house,4,2007,11
2007-11-24,2905,12.721885810807203,house,3,2007,11
2007-11-24,2605,13.262125319779487,house,3,2007,11
2007-11-27,2902,12.992254692057308,house,3,2007,11
2007-11-29,2912,12.637855061955712,house,1,2007,11
2007-11-29,2906,12.774223335915433,house,3,2007,11
2007-11-30,2602,12.959844447906553,house,3,2007,11
2007-11-30,2602,13.623138665316818,house,3,2007,11
2007-12-01,2615,13.742939865129438,house,5,2007,12
2007-12-03,2905,12.80765263256463,house,3,2007,12
2007-12-03,2906,12.866179972011919,house,3,2007,12
2007-12-04,2906,13.337474757021274,house,4,2007,12
2007-12-05,2600,13.623138665316818,house,3,2007,12
2007-12-06,2905,12.721885810807203,house,3,2007,12
2007-12-07,2902,12.765688433465597,house,3,2007,12
2007-12-08,2602,12.950388112664518,house,3,2007,12
2007-12-08,2906,13.208541073645382,house,4,2007,12
2007-12-12,2605,13.36138027787483,house,4,2007,12
2007-12-13,2606,12.7868906411162,house,3,2007,12
2007-12-13,2913,12.89921982609012,house,4,2007,12
2007-12-13,2612,13.91535589293399,house,4,2007,12
2007-12-14,2602,12.464583340681674,house,2,2007,12
2007-12-14,2905,12.988831984779805,house,3,2007,12
2007-12-15,2906,13.180632285528304,house,4,2007,12
2007-12-19,2602,13.353475098367715,house,3,2007,12
2007-12-20,2905,13.329377546788654,house,4,2007,12
2007-12-21,2615,12.712890247898626,house,3,2007,12
2007-12-21,2902,13.102160670086809,house,3,2007,12
2008-01-02,2906,12.641096555879882,house,2,2008,1
2008-01-14,2602,12.931202871943169,house,3,2008,1
2008-01-15,2905,13.005829561148378,house,4,2008,1
2008-01-15,2902,13.304684934198283,house,4,2008,1
2008-01-17,2605,12.942039823273047,house,2,2008,1
2008-01-17,2913,13.044401835934616,house,4,2008,1
2008-01-17,2615,13.091904169919621,house,4,2008,1
2008-01-18,2602,13.270783382522602,house,4,2008,1
2008-01-23,2601,12.84792653170257,house,1,2008,1
2008-01-24,2602,13.235692062711331,house,4,2008,1
2008-01-24,2906,13.262125319779487,house,4,2008,1
2008-01-24,2612,13.849911984681606,house,4,2008,1
2008-01-30,2602,13.091904169919621,house,3,2008,1
2008-02-01,2905,13.303016877097587,house,4,2008,2
2008-02-04,2902,12.762827201184564,house,3,2008,2
2008-02-07,2905,12.793859310432293,house,3,2008,2
2008-02-07,2614,12.834681304952548,house,3,2008,2
2008-02-07,2905,12.911642346088676,house,3,2008,2
2008-02-08,2617,12.886641043883259,house,3,2008,2
2008-02-09,2906,12.94084150078094,house,3,2008,2
2008-02-09,2602,13.235692062711331,house,3,2008,2
2008-02-09,2903,13.38472764187182,house,4,2008,2
2008-02-11,2617,12.9384405392434,house,4,2008,2
2008-02-12,2902,13.526494262499357,house,4,2008,2
2008-02-15,2904,13.262125319779487,house,4,2008,2
2008-02-15,2602,13.345506928718539,house,3,2008,2
2008-02-16,2611,13.321214236149494,house,5,2008,2
2008-02-19,2615,13.005829561148378,house,4,2008,2
2008-02-21,2611,13.39239051461739,house,5,2008,2
2008-02-23,2617,13.122363377404328,house,4,2008,2
2008-02-23,2602,13.151922179645874,house,2,2008,2
2008-02-23,2605,13.60602333309755,house,5,2008,2
2008-02-27,2904,13.287877815881902,house,4,2008,2
2008-02-27,2905,13.37700559577791,house,5,2008,2
2008-02-27,2612,13.500799813124575,house,4,2008,2
2008-02-29,2906,12.742566016044742,house,3,2008,2
2008-02-29,2617,13.062613372998555,house,4,2008,2
2008-02-29,2617,13.098070684835283,house,3,2008,2
2008-03-13,2611,13.37855478276474,house,4,2008,3
2008-03-14,2615,13.39239051461739,house,4,2008,3
2008-03-15,2602,13.270783382522602,house,3,2008,3
2008-03-19,2615,12.911642346088676,house,3,2008,3
2008-03-20,2611,13.45166712454693,house,4,2008,3
2008-04-09,2906,12.948009990259552,house,4,2008,4
2008-04-09,2611,13.128345449081877,house,3,2008,4
2008-04-10,2906,12.84792653170257,house,3,2008,4
2008-04-11,2906,12.718896271958837,house,3,2008,4
2008-04-11,2611,12.886641043883259,house,3,2008,4
2008-04-11,2615,13.055154627710879,house,4,2008,4
2008-04-14,2604,13.166380262821104,house,3,2008,4
2008-04-14,2913,13.36138027787483,house,5,2008,4
2008-04-14,2617,13.444446876573442,house,4,2008,4
2008-04-14,2904,13.567049198665774,house,4,2008,4
2008-04-15,2904,13.428376406540833,house,5,2008,4
2008-04-18,2602,13.054084536651034,house,3,2008,4
2008-04-21,2906,13.383187995686226,house,5,2008,4
2008-04-22,2902,13.422467969854667,house,4,2008,4
2008-04-23,2905,12.936033799212835,house,3,2008,4
2008-04-23,2611,13.005829561148378,house,4,2008,4
2008-04-24,2600,12.58621994565405,house,1,2008,4
2008-04-24,2602,13.017002861746503,house,3,2008,4
2008-04-29,2602,13.42984807715229,house,4,2008,4
2008-04-29,2602,13.764217263576723,house,4,2008,4
2008-04-30,2602,13.091904169919621,house,3,2008,4
2008-05-01,2617,13.369223455335854,house,4,2008,5
2008-05-02,2906,12.712890247898626,house,2,2008,5
2008-05-02,2906,13.341498907321,house,4,2008,5
2008-05-02,2602,13.560618308335483,house,4,2008,5
