,postcode,propertyType,bedrooms,datesold_year,month,price,lag1,lag2,lag3,lag6,lag12,lag24,lag36
4144,10,1,2,2007,9,13.17020070681849,13.087577969817207,13.08736694798987,13.087707154035748,13.086416974583944,13.082346437684333,13.075692966694282,13.067959219457197
4268,10,1,3,2007,9,13.102160670086809,13.30247149219737,13.296492977263062,13.295962580980392,13.293434266054367,13.275746681895146,13.238743099002457,13.22394090965604
6242,18,0,4,2007,9,13.0080742310022,12.948009990259552,13.282400976666631,13.281578011610929,13.278102393922223,13.270486104494317,13.251051376069034,13.227314737317021
6559,19,0,4,2007,9,13.020884208454476,13.16158409055761,13.25690897648224,13.255633129107087,13.250459991861986,13.239520597012769,13.21938138964173,13.196590226784682
6846,20,0,4,2007,9,13.233904752137237,13.279367126213993,13.215853720491667,13.547631112808672,13.330911207252779,13.325440566267908,13.310164171269392,13.298888981114336
8494,25,0,4,2007,9,13.617059619240436,13.235692062711331,13.379419609451418,13.377844653565536,13.374337063590376,13.36642757308034,13.344567282946443,13.32112862605652
547,2,0,1,2007,10,12.206072645530174,12.874682167361565,12.900072495946809,12.894079049719357,12.860595701470459,12.90042918626932,13.216973045246451,13.198091075432924
645,2,0,3,2007,10,13.132313708257495,13.06048797368624,13.314841514407656,13.27401092701347,13.423654486745512,13.41229111096672,13.387364192885439,13.36331055968262
2161,5,0,3,2007,10,13.22852357323272,13.152892582439152,13.47310361862622,13.47192685405545,13.464630853654837,13.451174358090404,13.42190567533179,13.397962627024734
2267,5,0,4,2007,10,13.554145793829866,13.675160180468513,13.672983313630443,13.67206705011861,13.666708890153265,13.655619002578932,13.622419834486076,13.590243371416449
3381,9,0,3,2007,10,13.071070083016778,13.175904144332359,13.0080742310022,13.187176944101505,13.183058042417738,13.170592275805348,13.149317884569658,13.125464951482565
4145,10,1,2,2007,10,12.911642346088676,13.17020070681849,13.08736694798987,13.087707154035748,13.086416974583944,13.082346437684333,13.075692966694282,13.067959219457197
4504,11,0,4,2007,10,13.487006490992238,13.46578876472348,13.462721029695054,13.461072688302364,13.454733613625992,13.445276989789788,13.41792848484126,13.404296788408775
4756,12,0,1,2007,10,12.517227074167096,12.65411851275865,12.525356596093637,12.517227074167096,13.227322350426837,13.221756930054593,13.216973045246451,13.198091075432924
4824,12,0,3,2007,10,12.815838217151068,12.990860378217159,12.989783675301666,12.988487080870962,12.984564204997316,12.97505285029708,12.953678652749193,12.936727566147516
5601,14,0,5,2007,10,13.37700559577791,13.575773107855397,13.57415420035178,13.572716278751034,13.56509145624106,13.540817240906156,13.512710206381044,13.481560192369288
6732,20,0,3,2007,10,12.891691559669328,13.11345746405042,13.112246380467962,13.111161416863983,13.105615510845286,13.093829217040948,13.066597420037908,13.054524165534497
6983,20,0,5,2007,10,13.235692062711331,13.610943392223,13.492131135305518,13.490504350206916,13.481908516799772,13.467816145748918,13.447384799705027,13.418264826245942
7086,21,0,3,2007,10,12.86099861326992,12.769964990232857,12.70076888736628,12.992181499138878,12.987280592754974,12.979763744040518,12.961663272519598,12.948609319155338
7229,21,0,4,2007,10,13.019222618484816,13.028052697933088,13.049792684569493,12.84792653170257,13.22776252201437,13.219575603988028,13.19849010122038,13.18728418253295
7509,22,0,3,2007,10,12.6132030329574,12.72486643894534,12.628067055589549,12.676076274775909,12.933090832880925,12.925453058723255,12.910904916517202,12.897717760052055
7648,22,0,4,2007,10,13.081541382884074,13.288599753010766,13.287876986929104,13.28702378200423,13.284049639660493,13.277252968185289,13.26084450089276,13.246513279325166
8071,24,0,4,2007,10,13.287877815881902,13.364646146283302,13.362621584234368,13.360203211366835,13.354892480922775,13.33786146402095,13.30473376327346,13.282928258768887
8629,25,0,5,2007,10,13.9108207377686,13.667189873713982,13.66605639862539,13.662621318634468,13.658143391949809,13.643459243984626,13.615657251353102,13.582339368538266
565,2,0,2,2007,11,13.116345305078768,13.254218978258024,13.252074791416568,13.251552846811068,13.250399054022969,13.2209922268662,13.219547668846007,13.204087297118516
646,2,0,3,2007,11,13.345506928718537,13.132313708257495,13.06048797368624,13.314841514407656,13.423654486745512,13.41229111096672,13.387364192885439,13.36331055968262
1235,3,0,3,2007,11,13.541402605539613,13.855767708703757,13.851846666497504,13.849833693300546,13.842954188225391,13.826357007886234,13.783233359370383,13.749407091268846
1712,4,0,3,2007,11,13.132313708257495,13.079455876393052,13.487990382999667,13.486492051590444,13.47629378266195,13.454606308288875,13.41885232153483,13.38042483874634
2162,5,0,3,2007,11,13.262125319779487,13.22852357323272,13.152892582439152,13.47192685405545,13.464630853654837,13.451174358090404,13.42190567533179,13.397962627024734
3030,7,0,4,2007,11,13.32530422140102,13.16158409055761,13.232114241363448,13.17115354157376,13.543946183080914,13.533265376458438,13.508225499998941,13.493079569127792
3335,9,0,2,2007,11,13.049792684569493,12.960822306651824,12.966158530700861,12.96438235417002,12.947968649606315,12.958436443597186,12.898940099911878,12.905999056901406
3648,9,0,5,2007,11,13.304684934198283,13.611735749734892,13.608127678700622,13.604415025897245,13.599729255896749,13.595616820454628,13.52605398667633,13.496099748531973
4375,11,0,3,2007,11,12.84792653170257,13.166614678889783,13.164688064792408,13.163852883229158,13.157842643177416,13.14756883911553,13.120563247531196,13.098691191214007
4825,12,0,3,2007,11,12.83667930761522,12.815838217151068,12.989783675301666,12.988487080870962,12.984564204997316,12.97505285029708,12.953678652749193,12.936727566147516
4961,12,0,4,2007,11,13.033532163697712,13.155798153490569,13.204493826386669,13.202989116917546,13.19967388619622,13.189469350903481,13.167924957058393,13.150579692262612
